metric,value
snapshot_time,0.0
quality_profile,balanced
theta_nominal_deg,70.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,66
num_tier_medium,20
num_tier_low,14
num_samples_ok,66
num_samples_used_for_stats,100
contact_angle_all_mean_deg,90.41404028308587
contact_angle_all_q1_deg,86.2629482169256
contact_angle_all_median_deg,90.11222680819779
contact_angle_all_q3_deg,93.83916181044256
contact_angle_all_min_deg,76.25242289486894
contact_angle_all_max_deg,105.21333578970011
contact_angle_high_mean_deg,90.7322594009545
contact_angle_high_q1_deg,88.65909117437924
contact_angle_high_median_deg,90.50209607020372
contact_angle_high_q3_deg,93.66440193056316
contact_angle_high_min_deg,83.05128539405808
contact_angle_high_max_deg,99.22832250996493
contact_angle_high_medium_mean_deg,91.02279706121762
contact_angle_high_medium_q1_deg,88.4634088849537
contact_angle_high_medium_median_deg,90.68089804579787
contact_angle_high_medium_q3_deg,93.91359021045345
contact_angle_high_medium_min_deg,76.25242289486894
contact_angle_high_medium_max_deg,105.21333578970011
contact_angle_low_mean_deg,86.67453436027662
contact_angle_low_q1_deg,82.23847803140602
contact_angle_low_median_deg,83.21589232953119
contact_angle_low_q3_deg,86.2629482169256
contact_angle_low_min_deg,79.47964318496113
contact_angle_low_max_deg,104.01431884767958
contact_angle_mean_deg,90.41404028308587
contact_angle_q1_deg,86.2629482169256
contact_angle_median_deg,90.11222680819779
contact_angle_q3_deg,93.83916181044256
contact_angle_min_deg,76.25242289486894
contact_angle_max_deg,105.21333578970011
bias_all_vs_theta_nominal_deg,20.414040283085868
bias_high_vs_theta_nominal_deg,20.732259400954504
