snapshot_time,theta_rad,theta_deg,zeta_wall,slope_dz_dr,contact_angle_deg,ci_low_deg,ci_high_deg,ci_width_deg,fit_cond,fit_cond_global,model_diff_deg,n_points,n_unique_r,r_span,status,quality_tier,estimator_source,flag_sparse_local,flag_ill_conditioned,flag_wide_ci,flag_model_mismatch,flag_fallback_used,used_in_strict_stats,used_in_all_stats
0,-3.11017672705,-178.2,0.00409990390086,-0.108437633577,96.1888367427,92.390350081,101.094772407,8.70442232631,327.570245141,780.813936879,10.6675730315,24,17,0.000193831045181,warn,medium,local_quadratic,0,0,0,0,0,0,1
0,-3.04734487398,-174.6,0.00409971805331,-0.0851427659345,94.8665840309,88.0612327365,106.121899621,18.0606668845,339.90206369,780.813936879,3.07169600776,23,21,0.000193616375327,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.98451302091,-171,0.00409953574072,-0.06021218674,93.4457440036,89.479226207,98.2865441805,8.80731797351,306.228304306,780.813936879,3.83384273992,27,27,0.000331792281941,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.92168116784,-167.4,0.00409990661504,0.00321591373172,89.8157423511,85.401690791,95.3421260535,9.94043526253,303.779061121,780.813936879,6.81141576693,29,29,0.000331849558279,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.85884931477,-163.8,0.00409985752211,0.0232819192791,88.6662852306,84.9350410323,92.3157813201,7.38074028777,364.694397459,780.813936879,6.90123383594,28,28,0.000316366786137,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.79601746169,-160.2,0.00409978146209,0.0152313556624,89.1273750814,84.639152729,93.3538873502,8.71473462119,344.393772307,780.813936879,6.24259880197,28,28,0.000326851615682,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.73318560862,-156.6,0.00409966340544,-0.0167465287325,90.9594157364,86.7182893733,96.5513014547,9.83301208144,314.675696442,780.813936879,4.80042037793,28,28,0.000326840905473,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.67035375555,-153,0.00409921730607,-0.162471987134,99.22832251,90.9357065746,106.24995085,15.3142442759,367.787479159,780.813936879,6.77132614021,30,30,0.000321010127664,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.60752190248,-149.4,0.00409947521244,-0.13144434273,97.4882764806,91.5032324287,104.756960156,13.253727727,318.329799577,780.813936879,8.24418014074,30,30,0.000323448795825,warn,medium,local_quadratic,0,0,0,0,0,0,1
0,-2.54469004941,-145.8,0.00409981414215,-0.0664062097207,93.7992175254,87.5912344172,100.300468617,12.7092341994,353.55093818,780.813936879,3.8019726128,26,26,0.000323448795825,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.48185819634,-142.2,0.00409920798626,-0.118978112618,96.7850477689,85.1704512785,103.380647562,18.2101962832,357.257057257,780.813936879,0.0568706821308,26,26,0.000323417596519,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.41902634326,-138.6,0.00409915133969,-0.271943937282,105.21333579,92.5974912708,112.676543763,20.0790524923,364.204835818,780.813936879,11.4241083934,26,26,0.00030243396759,warn,medium,local_quadratic,0,0,0,0,0,0,1
0,-2.35619449019,-135,0.00409970764295,-0.0690640400487,93.9508044105,81.9883014302,102.304219949,20.3159185183,363.212212972,780.813936879,5.37987058809,29,29,0.00030243396759,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.29336263712,-131.4,0.00410041292514,0.120081503075,83.1526231398,77.6949948072,89.6001884186,11.9051936114,364.446871424,780.813936879,0.116799366776,26,26,0.000302345491946,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.23053078405,-127.8,0.00410049294632,0.0594267052911,86.5991002967,82.1276343956,92.5025459779,10.3749115823,318.190798685,780.813936879,4.468039395,27,27,0.000324951251969,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.16769893098,-124.2,0.00410017124626,-0.00753618439683,90.4317833854,85.6332025451,93.8940658336,8.26086328852,332.854778619,780.813936879,6.12548538726,27,27,0.000324951251969,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.10486707791,-120.6,0.00409940975051,-0.147701875865,98.40194703,89.5572924899,106.608467898,17.0511754083,298.256844928,780.813936879,10.0357704356,31,31,0.000324951251969,warn,medium,local_quadratic,0,0,0,0,0,0,1
0,-2.04203522483,-117,0.00409935846748,-0.15427055302,98.7699148015,91.7972611982,107.064320774,15.2670595762,321.46598987,780.813936879,7.19744837171,32,29,0.0003133546561,high,high,local_quadratic,0,0,0,0,0,1,1
0,-1.97920337176,-113.4,0.00409934849089,-0.114982946059,96.5592320336,89.4018111591,104.267349247,14.8655380876,297.398549223,780.813936879,5.98651198385,30,27,0.000326803419739,high,high,local_quadratic,0,0,0,0,0,1,1
0,-1.91637151869,-109.8,0.00410035832122,0.0342094072836,88.0407094131,82.1388403502,91.8364818466,9.69764149635,334.065484439,780.813936879,1.65610330483,30,27,0.000326803419739,high,high,local_quadratic,0,0,0,0,0,1,1
0,-1.85353966562,-106.2,0.00410060762104,0.0893931429979,84.8917282749,78.7526640382,91.1385496414,12.3858856032,356.452017461,780.813936879,2.25775853788,29,28,0.000316326739267,high,high,local_quadratic,0,0,0,0,0,1,1
0,-1.79070781255,-102.6,0.00410048359553,0.0192441152523,88.897529497,79.7476742598,95.6711190323,15.9234447725,302.747041658,780.813936879,4.03216984477,30,29,0.000331790884957,high,high,local_quadratic,0,0,0,0,0,1,1
0,-1.72787595947,-99,0.00409948205282,-0.0696534190511,93.9844116667,89.9260761256,99.2058869063,9.27981078069,305.397885552,780.813936879,3.26285618611,27,27,0.000331762945279,high,high,local_quadratic,0,0,0,0,0,1,1
0,-1.6650441064,-95.4,0.00409999250686,0.119056570662,83.2105197036,81.1585841375,85.6646270339,4.50604289648,338.737199153,780.813936879,15.16366202,23,23,0.000193651765585,model_mismatch,low,local_quadratic,0,0,0,1,0,0,1
0,-1.60221225333,-91.8,0.00410003464681,0.141115281123,81.9677267068,80.7398552629,82.9512681255,2.21141286256,327.420548923,780.813936879,15.9971581334,24,24,0.00019398285076,model_mismatch,low,local_quadratic,0,0,0,1,0,0,1
0,-1.53938040026,-88.2,0.00410003110242,0.141013760858,81.9734299005,80.7974075871,82.9042075242,2.10679993709,327.439174458,780.813936879,15.9905031561,24,24,0.000194008927792,model_mismatch,low,local_quadratic,0,0,0,1,0,0,1
0,-1.47654854719,-84.6,0.00409962658464,0.0284245217268,88.3718332702,81.9107981873,93.4887930459,11.5779948586,515.633055191,780.813936879,10.5950194113,24,24,0.000286948634312,warn,medium,local_quadratic,0,0,0,0,0,0,1
0,-1.41371669412,-81,0.00409866761497,-0.24959346601,104.014318848,98.1345318431,111.143802479,13.0092706359,288.061136512,780.813936879,12.1313073116,29,29,0.000331183429807,model_mismatch,low,local_quadratic,0,0,0,1,0,0,1
0,-1.35088484104,-77.4,0.00409944324165,-0.165787870532,99.4133247741,93.4052831826,105.153566477,11.748283294,291.189550701,780.813936879,11.969634311,30,30,0.000331183429807,warn,medium,local_quadratic,0,0,0,0,0,0,1
0,-1.28805298797,-73.8,0.00410014191098,-0.0234278432803,91.3420710409,87.1933443179,95.1817836541,7.98843933615,364.93657513,780.813936879,6.90929877503,28,28,0.000316401477903,high,high,local_quadratic,0,0,0,0,0,1,1
