metric,value
snapshot_time,1.5
quality_profile,balanced
theta_nominal_deg,70.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,100
num_tier_medium,0
num_tier_low,0
num_samples_ok,100
num_samples_used_for_stats,100
contact_angle_all_mean_deg,76.85733705898258
contact_angle_all_q1_deg,76.28983563472543
contact_angle_all_median_deg,76.75281740885168
contact_angle_all_q3_deg,77.25571299880534
contact_angle_all_min_deg,75.72825166079322
contact_angle_all_max_deg,79.29561380854146
contact_angle_high_mean_deg,76.85733705898258
contact_angle_high_q1_deg,76.28983563472543
contact_angle_high_median_deg,76.75281740885168
contact_angle_high_q3_deg,77.25571299880534
contact_angle_high_min_deg,75.72825166079322
contact_angle_high_max_deg,79.29561380854146
contact_angle_high_medium_mean_deg,76.85733705898258
contact_angle_high_medium_q1_deg,76.28983563472543
contact_angle_high_medium_median_deg,76.75281740885168
contact_angle_high_medium_q3_deg,77.25571299880534
contact_angle_high_medium_min_deg,75.72825166079322
contact_angle_high_medium_max_deg,79.29561380854146
contact_angle_mean_deg,76.85733705898258
contact_angle_q1_deg,76.28983563472543
contact_angle_median_deg,76.75281740885168
contact_angle_q3_deg,77.25571299880534
contact_angle_min_deg,75.72825166079322
contact_angle_max_deg,79.29561380854146
bias_all_vs_theta_nominal_deg,6.85733705898258
bias_high_vs_theta_nominal_deg,6.85733705898258
