snapshot_time,theta_rad,theta_deg,zeta_wall,status,quality_tier,estimator_source
1.5,-3.11017672705,-178.2,0.00441952976716,high,high,local_quadratic
1.5,-3.04734487398,-174.6,0.00442400238842,high,high,local_quadratic
1.5,-2.98451302091,-171,0.00442723643721,high,high,local_quadratic
1.5,-2.92168116784,-167.4,0.00443010466231,high,high,local_quadratic
1.5,-2.85884931477,-163.8,0.0044332410107,high,high,local_quadratic
1.5,-2.79601746169,-160.2,0.00443647830545,high,high,local_quadratic
1.5,-2.73318560862,-156.6,0.00443931061775,high,high,local_quadratic
1.5,-2.67035375555,-153,0.00444135426166,high,high,local_quadratic
1.5,-2.60752190248,-149.4,0.00444332039049,high,high,local_quadratic
1.5,-2.54469004941,-145.8,0.00444473681524,high,high,local_quadratic
1.5,-2.48185819634,-142.2,0.00444568818797,high,high,local_quadratic
1.5,-2.41902634326,-138.6,0.00444747720298,high,high,local_quadratic
1.5,-2.35619449019,-135,0.00444859424636,high,high,local_quadratic
1.5,-2.29336263712,-131.4,0.00444977329154,high,high,local_quadratic
1.5,-2.23053078405,-127.8,0.0044500235717,high,high,local_quadratic
1.5,-2.16769893098,-124.2,0.00445139212194,high,high,local_quadratic
1.5,-2.10486707791,-120.6,0.00445226470547,high,high,local_quadratic
1.5,-2.04203522483,-117,0.00445248512375,high,high,local_quadratic
1.5,-1.97920337176,-113.4,0.0044526809229,high,high,local_quadratic
1.5,-1.91637151869,-109.8,0.00445297703139,high,high,local_quadratic
1.5,-1.85353966562,-106.2,0.00445254005644,high,high,local_quadratic
1.5,-1.79070781255,-102.6,0.00445281971768,high,high,local_quadratic
1.5,-1.72787595947,-99,0.00445278400605,high,high,local_quadratic
1.5,-1.6650441064,-95.4,0.00445240261976,high,high,local_quadratic
1.5,-1.60221225333,-91.8,0.00445214684877,high,high,local_quadratic
1.5,-1.53938040026,-88.2,0.00445116804206,high,high,local_quadratic
1.5,-1.47654854719,-84.6,0.00444973504211,high,high,local_quadratic
1.5,-1.41371669412,-81,0.00444883897354,high,high,local_quadratic
1.5,-1.35088484104,-77.4,0.00444792167404,high,high,local_quadratic
1.5,-1.28805298797,-73.8,0.00444700094523,high,high,local_quadratic
1.5,-1.2252211349,-70.2,0.00444726293216,high,high,local_quadratic
1.5,-1.16238928183,-66.6,0.00444702742423,high,high,local_quadratic
1.5,-1.09955742876,-63,0.00444714525547,high,high,local_quadratic
1.5,-1.03672557568,-59.4,0.00444753775856,high,high,local_quadratic
1.5,-0.973893722613,-55.8,0.00444763954152,high,high,local_quadratic
1.5,-0.911061869541,-52.2,0.00444743427765,high,high,local_quadratic
1.5,-0.848230016469,-48.6,0.00444813754469,high,high,local_quadratic
1.5,-0.785398163397,-45,0.00444787078762,high,high,local_quadratic
1.5,-0.722566310326,-41.4,0.00444758756154,high,high,local_quadratic
1.5,-0.659734457254,-37.8,0.00444640502983,high,high,local_quadratic
1.5,-0.596902604182,-34.2,0.00444631842128,high,high,local_quadratic
1.5,-0.53407075111,-30.6,0.00444594850938,high,high,local_quadratic
