time,max_z,min_z,mean_z,num_points
0.0,0.004100000485777855,0.004100000020116568,0.00409999955445528,5575
0.1,0.0044420198537409306,0.0038377810269594193,0.004226642195135355,7332
0.2,0.004455167800188065,0.0038460891228169203,0.004217868205159903,7234
0.3,0.00447775749489665,0.003842479782178998,0.004218546207994223,7297
0.4,0.0044547091238200665,0.0038487371057271957,0.004217404872179031,7239
0.5,0.004452683497220278,0.0038431426510214806,0.004218337591737509,7244
0.6,0.004513521213084459,0.003843447891995311,0.004220807924866676,7371
0.7,0.004493999294936657,0.003845102619379759,0.0042182449251413345,7317
0.8,0.004452231805771589,0.00385589012876153,0.0042156619019806385,7259
0.9,0.00445992685854435,0.0038496917113661766,0.004218165297061205,7222
1.0,0.004490015096962452,0.003833240829408169,0.00422196090221405,7324
1.1,0.004493098706007004,0.0038505818229168653,0.00421797065064311,7317
1.2,0.004502961412072182,0.0038473918102681637,0.004219292663037777,7327
1.3,0.00445449398830533,0.003848326625302434,0.004217470530420542,7221
1.4,0.004457523114979267,0.003844084683805704,0.004219311289489269,7244
1.5,0.004454709589481354,0.0038526991847902536,0.004216172732412815,7251
