x,y,z
-0.0004510940343607217,-0.003982769325375557,0.004173683933913708
-0.0003899170260410756,-0.004053265321999788,0.00416052620857954
-0.00040055852150544524,-0.004054349847137928,0.004161538556218147
-0.00035022394149564207,-0.003951582126319408,0.004174999892711639
-0.00045146947377361357,-0.004062728025019169,0.004157999996095896
-0.0003499946615193039,-0.004049005918204784,0.004149999935179949
-0.00045083972509019077,-0.003956870641559362,0.004185293801128864
-0.0004513146122917533,-0.00402163015678525,0.00416052620857954
-0.0003798490506596863,-0.003953410312533379,0.004185293801128864
-0.00045126929762773216,-0.004010636825114489,0.004161538556218147
-0.0004424856451805681,-0.00406125420704484,0.004158823285251856
-0.000349994603311643,-0.004049005918204784,0.004149999935179949
-0.00025004081544466317,-0.003950541839003563,0.004124999977648258
-0.00028561108047142625,-0.004048501141369343,0.004135714378207922
-0.0002499968104530126,-0.003992890939116478,0.004121428355574608
-0.0003001323784701526,-0.003951061982661486,0.004149999935179949
-0.00029987760353833437,-0.004048129078000784,0.00413846131414175
-0.00024994160048663616,-0.004049395211040974,0.004129999782890081
-0.00018574301793705672,-0.004051482770591974,0.004135714378207922
-0.00015003321459516883,-0.0039515746757388115,0.004100000020116568
-0.0002000163949560374,-0.004051062744110823,0.00413846131414175
-0.0002300392952747643,-0.0039507485926151276,0.004120000172406435
-0.00015006163448560983,-0.004052592907100916,0.004129999782890081
-0.00023329774558078498,-0.0040499246679246426,0.0041333334520459175
-6.671837763860822e-05,-0.004054337739944458,0.0041333334520459175
-5.0041981012327597e-05,-0.004054502584040165,0.004129999782890081
-0.00010006988304667175,-0.004053880460560322,0.00413846131414175
-5.001742465537973e-05,-0.003952468279749155,0.004100000020116568
-0.00013339825090952218,-0.004053038544952869,0.0041333334520459175
-0.00015003311273176223,-0.0039515746757388115,0.004100000020116568
1.4297311281552538e-05,-0.004054748918861151,0.004135714378207922
-1.4297311281552538e-05,-0.004054748918861151,0.004135714378207922
5.0041981012327597e-05,-0.004054502584040165,0.004129999782890081
5.001741737942211e-05,-0.003952468279749155,0.004100000020116568
-5.0017326429951936e-05,-0.003952468279749155,0.004100000020116568
-7.407241459740296e-14,-0.004054883029311895,0.00413846131414175
0.00015006266767159104,-0.004052634350955486,0.004149999935179949
0.00015006271132733673,-0.004052634350955486,0.004149999935179949
5.0017515604849905e-05,-0.003952468279749155,0.004100000020116568
0.00015006266767159104,-0.004052634350955486,0.004149999935179949
0.0001500332000432536,-0.003951574210077524,0.004124999977648258
0.00010006988304667175,-0.004053880460560322,0.00413846131414175
6.671837763860822e-05,-0.004054337739944458,0.0041333334520459175
0.0002499380789231509,-0.00404935609549284,0.004149999935179949
0.0001894991146400571,-0.004051372408866882,0.00416052620857954
0.0002000163949560374,-0.004051062744110823,0.004161538556218147
0.00017503507842775434,-0.003951315768063068,0.004124999977648258
0.0002500407281331718,-0.003950541373342276,0.004124999977648258
0.0002499381371308118,-0.00404935609549284,0.004149999935179949
0.00033328987774439156,-0.004048724193125963,0.0041333334520459175
0.0002893652126658708,-0.004048400558531284,0.004139473661780357
0.00035000205389223993,-0.004049091134220362,0.004129999782890081
0.0003502240579109639,-0.003951583057641983,0.004100000020116568
0.0002700774057302624,-0.003950749523937702,0.004120000172406435
0.00029987760353833437,-0.004048129078000784,0.00413846131414175
0.0002499381953384727,-0.00404935609549284,0.004149999935179949
0.00038611667696386576,-0.0040528797544538975,0.004135714378207922
0.0004510940343607217,-0.003982769791036844,0.00412631593644619
0.00040055852150544524,-0.004054349847137928,0.00413846131414175
0.0004513146122917533,-0.00402163015678525,0.004139473661780357
0.00045146947377361357,-0.004062728025019169,0.004141999874264002
0.0004424856451805681,-0.00406125420704484,0.004141176585108042
0.00045126929762773216,-0.004010636825114489,0.00413846131414175
0.0004508397541940212,-0.00395687110722065,0.004114706069231033
0.00035022414522245526,-0.003951583057641983,0.004100000020116568
0.0005014888592995703,-0.0040120212361216545,0.004149999935179949
0.00050208973698318,-0.004067058674991131,0.004149999935179949
-0.0009514607954770327,-0.00386729184538126,0.00413846131414175
-0.0008684110944159329,-0.0039579723961651325,0.0041333334520459175
-0.0009513322729617357,-0.003855261718854308,0.004135714378207922
-0.0008517037495039403,-0.003957956563681364,0.004129999782890081
-0.0009517718572169542,-0.003906985279172659,0.00413846131414175
-0.0008509900653734803,-0.0038544542621821165,0.004100000020116568
-0.000912367831915617,-0.003957889508455992,0.004139473661780357
-0.0009518390288576484,-0.003917803522199392,0.004139473661780357
-0.0009520783205516636,-0.003958330024033785,0.004141999874264002
-0.0008509901817888021,-0.0038544542621821165,0.004100000020116568
-0.0009017765987664461,-0.003957762848585844,0.00413846131414175
-0.0007505972171202302,-0.003852972760796547,0.004100000020116568
-0.0008157661650329828,-0.003957116976380348,0.004135714378207922
-0.0008509899489581585,-0.0038544542621821165,0.004100000020116568
-0.0007508271955884993,-0.003954167943447828,0.004129999782890081
-0.0007676906534470618,-0.003955083899199963,0.0041333334520459175
-0.0008014047052711248,-0.003956847358494997,0.00413846131414175
-0.0006506193894892931,-0.003954146057367325,0.004149999935179949
-0.0006506193894892931,-0.003954146057367325,0.004149999935179949
-0.0006504224729724228,-0.0038526456337422132,0.004149999935179949
-0.0006506193312816322,-0.003954146057367325,0.004149999935179949
-0.0007505971007049084,-0.003852972760796547,0.004100000020116568
-0.000700546836014837,-0.003953132778406143,0.00413846131414175
-0.0007149087614379823,-0.003953409381210804,0.004135714378207922
-0.0005676359287463129,-0.003957310225814581,0.00416666641831398
-0.0006113312556408346,-0.003955771680921316,0.00416052620857954
-0.0005504689179360867,-0.003853478003293276,0.00419999985024333
-0.0005504689761437476,-0.003853478003293276,0.00419999985024333
-0.0006008584168739617,-0.003956233151257038,0.004161538556218147
-0.0005504688597284257,-0.003853478003293276,0.00419999985024333
-0.0005510040209628642,-0.003957686014473438,0.004170000087469816
-0.0005010660970583558,-0.003958532586693764,0.004161538556218147
-0.0005153281963430345,-0.003958247136324644,0.004164285492151976
-0.00045037647942081094,-0.0038529825396835804,0.00419999985024333
-0.000474677566671744,-0.003958053421229124,0.004173683933913708
-0.00045037653762847185,-0.0038529825396835804,0.00419999985024333
-0.0005504688015207648,-0.003853478003293276,0.00419999985024333
-0.0003501597966533154,-0.0038512463215738535,0.00419999985024333
-0.00045037639210931957,-0.0038529825396835804,0.00419999985024333
-0.000250048004090786,-0.003850582055747509,0.004149999935179949
-0.00015002035070210695,-0.003850840264931321,0.004100000020116568
-5.000760575057939e-05,-0.0038511804305016994,0.004100000020116568
5.000760211260058e-05,-0.0038511804305016994,0.004100000020116568
0.00015002033615019172,-0.0038508400321006775,0.004100000020116568
0.0002500479749869555,-0.0038505818229168653,0.004100000020116568
0.00035015985486097634,-0.003851246787235141,0.004100000020116568
