timestamp,normU,maxDeltaAlpha,interfaceHeightMax,interfaceHeightMin
0.000881969,0.00697264848045,0.252142,0.00498,0.00332336782271
0.00341282,0.00885779860624,0.09113,0.00498,0.00332
0.00616214,0.0098882700526,0.054209,0.00498012629874,0.00332880790238
0.00884786,0.0105195251364,0.1126,0.00498,0.00336090574617
0.0108739,0.0117335290099,0.027384,0.00496262802719,0.00332072122802
0.0129179,0.0101569774408,0.071846,0.0049452120466,0.00334063033758
0.0151921,0.0106893037366,0.035993,0.00492091496491,0.00332002761535
0.0172349,0.0103648648365,0.015572,0.00497924831107,0.00332663933551
0.0193679,0.00907498627108,0.02422,0.00497685932142,0.00332774777627
0.0217208,0.011212952682,0.048692,0.00495838449205,0.00332
0.0239286,0.0105024930558,0.023595,0.00497751181552,0.00332
0.0263106,0.0126711011018,0.051876,0.00496682533329,0.00332
0.0285638,0.0108436826384,0.058703,0.00497728078946,0.00334319574747
0.0314995,0.00971107815854,0.025671,0.00498000000016,0.00335303813547
0.0338107,0.0113845150138,0.057814,0.00498000000751,0.00332
0.0366679,0.0130962127263,0.041964,0.00498,0.00332000027973
0.0392424,0.0121291549483,0.035663,0.00498005093176,0.00332202546615
0.0417294,0.0105441906198,0.058485,0.00498015196015,0.00333574067166
0.0440336,0.0115675280806,0.019763,0.00498000023647,0.00332000243423
0.0463462,0.0122886538893,0.033752,0.00498002522148,0.00332
0.0495246,0.0121174319357,0.064636,0.0049799444777,0.00332
0.0521927,0.0142612309584,0.040298,0.00496267838674,0.00332
0.0547801,0.0108825332271,0.027271,0.00494486822063,0.00332000069614
0.0571042,0.0107180582356,0.012395,0.00498000041609,0.00332
0.0596796,0.0149231409599,0.028503,0.00494134666385,0.00332
0.0622371,0.0121720862645,0.015907,0.00495627920594,0.00332
0.0649758,0.0106350897387,0.045135,0.00497071026077,0.00335079502821
0.0679107,0.00963110174911,0.03901,0.00498000000152,0.00332000093951
0.0706923,0.01309150131,0.032913,0.00496033389892,0.00332000072115
0.0734465,0.0130442943622,0.034508,0.00498,0.00332
0.0765079,0.012174872607,0.049037,0.00497146488007,0.0033200246211
0.0793376,0.0132484924212,0.034539,0.00496957537293,0.00332
0.0823124,0.012098379447,0.0493061,0.00497678352191,0.00332
0.0850948,0.0137781920813,0.03994,0.00497245708854,0.00332
0.0885451,0.0138860568736,0.036963,0.00498,0.00332
0.091126,0.013214360721,0.06643,0.00498000185749,0.00332
0.0940808,0.0142792343423,0.030241,0.00498,0.00332000086101
0.0966189,0.0133638080628,0.053999,0.00498000430424,0.00332000000039
0.0998193,0.0103981915862,0.03128,0.0049800006303,0.00332000069419
0.102528,0.011347491412,0.013774,0.00498,0.00332000350981
0.104989,0.0140192650649,0.02693046,0.00498,0.00332000001639
0.107716,0.012761662992,0.039055,0.00498,0.00332000003658
0.110661,0.0142465331283,0.043293,0.00498000224481,0.00332000004103
0.113935,0.0126015836735,0.051263,0.0049807331885,0.00332
0.116661,0.0126250910567,0.03353,0.00498010025038,0.00332000000856
0.119294,0.0144956247205,0.0347902,0.00498000834847,0.00332382307044
0.121701,0.0161366287125,0.032703,0.00498033930487,0.00332136328614
0.124383,0.0112649520936,0.039809,0.00498369254935,0.003339474109
0.127443,0.0116346383943,0.028445,0.0049811016252,0.0033200000033
0.130287,0.0131188514259,0.02652,0.00498013715443,0.00332445205203
0.132856,0.0114570458216,0.023028,0.00498,0.00332000000324
0.135643,0.0185683996921,0.025482,0.00498,0.00332000000324
0.138836,0.0146856279789,0.022605,0.0049801206514,0.00332000000088
0.141976,0.0155569103528,0.017084,0.00497998588976,0.00332
0.144795,0.0143962394307,0.024686,0.00498,0.00332
0.146951,0.0149028662131,0.03532,0.00497978338074,0.0033204050691
0.149746,0.0141147218543,0.065393,0.00498000000011,0.00333514035134
0.151812,0.011790020568,0.024097,0.00498004995035,0.00332407716938
0.154518,0.0132702513442,0.031719,0.00497999024586,0.00332000000043
0.157724,0.0116779908351,0.0451951,0.00498000008681,0.00333819392942
0.160767,0.0158784440824,0.039104,0.00497997344115,0.00332
0.163558,0.0132364590997,0.055681,0.00497996447054,0.0033200118744
0.166856,0.0117482625041,0.039505,0.00498030354245,0.00332
0.170082,0.0105466517319,0.058641,0.00497996031306,0.00332000014081
0.173332,0.0107531858532,0.08931,0.00497996334186,0.00332418433536
0.176011,0.0102884146331,0.02634,0.00497996595218,0.0033200020855
0.178927,0.0101334101084,0.027434,0.00497996157088,0.00332903888197
0.181976,0.0102588870739,0.022984,0.00497996015809,0.00332
0.184762,0.0120829584705,0.0431091,0.00498070742193,0.00332000002737
0.188155,0.0128495068355,0.031861,0.00498192457219,0.00332000302218
0.19134,0.0127934982263,0.035633,0.00498098640076,0.00332
0.19432,0.0127332891184,0.043049,0.00498367297974,0.00332
0.197946,0.0136437456434,0.023034,0.00498053183688,0.00332
0.200143,0.0138681474962,0.022448,0.00498000243206,0.0033200038636
0.202752,0.0142325822815,0.025842,0.0049800003438,0.0033200000855
0.206297,0.0142467527182,0.041316,0.00498064435159,0.0033200000855
0.209402,0.0159636064392,0.039573,0.0049809309917,0.0033200000855
0.21212,0.0154285059049,0.028524,0.00498008325901,0.00332
0.214735,0.0151788512251,0.022762,0.00498,0.00332
0.217944,0.0124358726486,0.030921,0.00498000518977,0.00332000065094
0.220504,0.0108780050411,0.031277,0.00498025803506,0.00332000059524
0.224125,0.0117209940848,0.044603,0.00497866154509,0.00332000029781
0.227279,0.0144682560869,0.051924,0.00497713540316,0.00332000000878
0.230509,0.014100108963,0.046538,0.00497708573827,0.00332
0.233279,0.0122979171759,0.021334,0.00497686791553,0.0033202997
0.236428,0.0134409988028,0.0244,0.00497687069599,0.00333213533866
0.2393,0.0105804213825,0.012073,0.00497874685234,0.00333324853064
0.242461,0.0107960374919,0.026534,0.00497686407656,0.00332000005569
0.245363,0.0130494600103,0.034698,0.0049781674356,0.00335517967645
0.248321,0.0139008128146,0.018247,0.00497966150254,0.00333644800841
0.251388,0.012476010188,0.032884,0.00498014520651,0.00333779158464
0.254661,0.0132394368002,0.019611,0.0049834342659,0.00336990196832
0.257639,0.0134656612915,0.045589,0.00497799154269,0.00332001103259
