snapshot_time,theta_rad,theta_deg,zeta_wall,status,quality_tier,estimator_source
5,-3.11017672705,-178.2,0.00409884141205,wide_ci,low,local_quadratic
5,-3.04734487398,-174.6,0.0040998153044,high,high,local_quadratic
5,-2.98451302091,-171,0.00410033402998,high,high,local_quadratic
5,-2.92168116784,-167.4,0.00410054363121,high,high,local_quadratic
5,-2.85884931477,-163.8,0.00410060656262,high,high,local_quadratic
5,-2.79601746169,-160.2,0.00410079945292,sparse_local,medium,local_quadratic
5,-2.73318560862,-156.6,0.00410105871591,sparse_local,medium,local_quadratic
5,-2.67035375555,-153,0.00410092253295,warn,medium,local_quadratic
5,-2.60752190248,-149.4,0.00410114612566,high,high,local_quadratic
5,-2.54469004941,-145.8,0.00410147618325,wide_ci,low,local_quadratic
5,-2.48185819634,-142.2,0.0041011777923,high,high,local_quadratic
5,-2.41902634326,-138.6,0.00410103326636,wide_ci,low,local_quadratic
5,-2.35619449019,-135,0.00410115351239,warn,medium,local_quadratic
5,-2.29336263712,-131.4,0.00410133080414,high,high,local_quadratic
5,-2.23053078405,-127.8,0.00410152041139,high,high,local_quadratic
5,-2.16769893098,-124.2,0.00410178421801,sparse_local,medium,local_quadratic
5,-2.10486707791,-120.6,0.0041012835347,high,high,local_quadratic
5,-2.04203522483,-117,0.00410073353611,high,high,local_quadratic
5,-1.97920337176,-113.4,0.00410070123645,sparse_local,medium,local_quadratic
5,-1.91637151869,-109.8,0.00410024751671,high,high,local_quadratic
5,-1.85353966562,-106.2,0.00410006313246,high,high,local_quadratic
5,-1.79070781255,-102.6,0.00410046724366,high,high,local_quadratic
5,-1.72787595947,-99,0.00410118078993,high,high,local_quadratic
5,-1.6650441064,-95.4,0.00410022110926,high,high,local_quadratic
5,-1.60221225333,-91.8,0.00409846057241,wide_ci,low,local_quadratic
5,-1.53938040026,-88.2,0.00409921045375,wide_ci,low,local_quadratic
5,-1.47654854719,-84.6,0.00410022865247,high,high,local_quadratic
5,-1.41371669412,-81,0.00410081827078,high,high,local_quadratic
5,-1.35088484104,-77.4,0.00410091869898,high,high,local_quadratic
5,-1.28805298797,-73.8,0.00410055176035,high,high,local_quadratic
5,-1.2252211349,-70.2,0.0041004801705,sparse_local,medium,local_quadratic
5,-1.16238928183,-66.6,0.00410046372193,sparse_local,medium,local_quadratic
5,-1.09955742876,-63,0.0041005833141,high,high,local_quadratic
5,-1.03672557568,-59.4,0.00410052972558,high,high,local_quadratic
5,-0.973893722613,-55.8,0.00410054010658,wide_ci,low,local_quadratic
5,-0.911061869541,-52.2,0.00410106545268,wide_ci,low,local_quadratic
5,-0.848230016469,-48.6,0.00410146035913,high,high,local_quadratic
5,-0.785398163397,-45,0.0041014774457,high,high,local_quadratic
5,-0.722566310326,-41.4,0.00410135913679,high,high,local_quadratic
5,-0.659734457254,-37.8,0.00410134098869,high,high,local_quadratic
5,-0.596902604182,-34.2,0.00410143733655,sparse_local,medium,local_quadratic
5,-0.53407075111,-30.6,0.00410110498303,high,high,local_quadratic
5,-0.471238898038,-27,0.0041007319851,high,high,local_quadratic
5,-0.408407044967,-23.4,0.00410073481355,sparse_local,medium,local_quadratic
5,-0.345575191895,-19.8,0.00410030914471,high,high,local_quadratic
5,-0.282743338823,-16.2,0.00410011391829,wide_ci,low,local_quadratic
5,-0.219911485751,-12.6,0.00409942808336,wide_ci,low,local_quadratic
5,-0.157079632679,-9,0.00409852544296,high,high,local_quadratic
5,-0.0942477796077,-5.4,0.00409857743821,wide_ci,low,local_quadratic
5,-0.0314159265359,-1.8,0.00409885278189,wide_ci,low,local_quadratic
5,0.0314159265359,1.8,0.00409834702561,wide_ci,low,local_quadratic
5,0.0942477796077,5.4,0.00409974551133,high,high,local_quadratic
5,0.157079632679,9,0.00410053681004,high,high,local_quadratic
5,0.219911485751,12.6,0.00410055071406,high,high,local_quadratic
5,0.282743338823,16.2,0.00410051195612,high,high,local_quadratic
5,0.345575191895,19.8,0.00410078018267,sparse_local,medium,local_quadratic
5,0.408407044967,23.4,0.00410103898475,sparse_local,medium,local_quadratic
5,0.471238898038,27,0.00410071531591,high,high,local_quadratic
5,0.53407075111,30.6,0.00410081123623,high,high,local_quadratic
5,0.596902604182,34.2,0.00410111182355,high,high,local_quadratic
5,0.659734457254,37.8,0.00410071291323,high,high,local_quadratic
5,0.722566310326,41.4,0.00410062103817,warn,medium,local_quadratic
5,0.785398163397,45,0.0041008053098,warn,medium,local_quadratic
5,0.848230016469,48.6,0.00410085477082,high,high,local_quadratic
5,0.911061869541,52.2,0.00410065616007,high,high,local_quadratic
5,0.973893722613,55.8,0.00410045666861,sparse_local,medium,local_quadratic
5,1.03672557568,59.4,0.00410042771472,high,high,local_quadratic
5,1.09955742876,63,0.00410052403636,high,high,local_quadratic
5,1.16238928183,66.6,0.00410059972729,sparse_local,medium,local_quadratic
5,1.2252211349,70.2,0.00410027665265,high,high,local_quadratic
5,1.28805298797,73.8,0.00410005988963,high,high,local_quadratic
5,1.35088484104,77.4,0.00409915917047,high,high,local_quadratic
5,1.41371669412,81,0.00409791140874,high,high,local_quadratic
5,1.47654854719,84.6,0.00409805599755,high,high,local_quadratic
5,1.53938040026,88.2,0.00409850671957,wide_ci,low,local_quadratic
5,1.60221225333,91.8,0.00409798762715,wide_ci,low,local_quadratic
5,1.6650441064,95.4,0.00409916790776,high,high,local_quadratic
5,1.72787595947,99,0.00409974016992,high,high,local_quadratic
5,1.79070781255,102.6,0.00409965398307,high,high,local_quadratic
5,1.85353966562,106.2,0.00409927877196,wide_ci,low,local_quadratic
5,1.91637151869,109.8,0.00409932452417,sparse_local,medium,local_quadratic
5,1.97920337176,113.4,0.00409947122808,sparse_local,medium,local_quadratic
5,2.04203522483,117,0.0040996771681,high,high,local_quadratic
5,2.10486707791,120.6,0.00409968391645,high,high,local_quadratic
5,2.16769893098,124.2,0.00409980545531,high,high,local_quadratic
5,2.23053078405,127.8,0.00410009056311,high,high,local_quadratic
5,2.29336263712,131.4,0.00410056043644,high,high,local_quadratic
5,2.35619449019,135,0.00410077343644,wide_ci,low,local_quadratic
5,2.41902634326,138.6,0.00410094298627,high,high,local_quadratic
5,2.48185819634,142.2,0.00410102723596,high,high,local_quadratic
5,2.54469004941,145.8,0.00410109142127,sparse_local,medium,local_quadratic
5,2.60752190248,149.4,0.00410117213673,high,high,local_quadratic
5,2.67035375555,153,0.00410119592947,high,high,local_quadratic
5,2.73318560862,156.6,0.00410116857409,sparse_local,medium,local_quadratic
5,2.79601746169,160.2,0.00410117967947,sparse_local,medium,local_quadratic
5,2.85884931477,163.8,0.00410128878996,wide_ci,low,local_quadratic
5,2.92168116784,167.4,0.00410206952268,high,high,local_quadratic
5,2.98451302091,171,0.00410196858986,high,high,local_quadratic
5,3.04734487398,174.6,0.00410077136935,high,high,local_quadratic
5,3.11017672705,178.2,0.00409910690617,wide_ci,low,local_quadratic
