metric,value
snapshot_time,5.0
quality_profile,balanced
theta_nominal_deg,90.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,61
num_tier_medium,21
num_tier_low,18
num_samples_ok,61
num_samples_used_for_stats,100
contact_angle_all_mean_deg,90.08214989079379
contact_angle_all_q1_deg,89.90751971090562
contact_angle_all_median_deg,89.97208074095272
contact_angle_all_q3_deg,90.10609520600482
contact_angle_all_min_deg,89.41921259395144
contact_angle_all_max_deg,93.93282133799552
contact_angle_high_mean_deg,89.98940434109161
contact_angle_high_q1_deg,89.9057189429715
contact_angle_high_median_deg,89.96866584341424
contact_angle_high_q3_deg,90.10551782829475
contact_angle_high_min_deg,89.41921259395144
contact_angle_high_max_deg,90.4762110134787
contact_angle_high_medium_mean_deg,89.98238809454007
contact_angle_high_medium_q1_deg,89.90718363464225
contact_angle_high_medium_median_deg,89.96871600664423
contact_angle_high_medium_q3_deg,90.07805631726316
contact_angle_high_medium_min_deg,89.41921259395144
contact_angle_high_medium_max_deg,90.4762110134787
contact_angle_low_mean_deg,90.53662029594956
contact_angle_low_q1_deg,89.92243741301286
contact_angle_low_median_deg,90.18153529506779
contact_angle_low_q3_deg,90.45006806948584
contact_angle_low_min_deg,89.721660017941
contact_angle_low_max_deg,93.93282133799552
contact_angle_mean_deg,90.08214989079379
contact_angle_q1_deg,89.90751971090562
contact_angle_median_deg,89.97208074095272
contact_angle_q3_deg,90.10609520600482
contact_angle_min_deg,89.41921259395144
contact_angle_max_deg,93.93282133799552
bias_all_vs_theta_nominal_deg,0.08214989079378654
bias_high_vs_theta_nominal_deg,-0.010595658908385985
