snapshot_time,theta_rad,theta_deg,zeta_wall,status,quality_tier,estimator_source
10,-3.11017672705,-178.2,0.00438826596631,fallback,medium,global_periodic_fallback
10,-3.04734487398,-174.6,0.00438803518422,wide_ci,low,local_quadratic
10,-2.98451302091,-171,0.00439452396866,wide_ci,low,local_quadratic
10,-2.92168116784,-167.4,0.00439688752323,wide_ci,low,local_quadratic
10,-2.85884931477,-163.8,0.00439490114567,wide_ci,low,local_quadratic
10,-2.79601746169,-160.2,0.00439516898814,wide_ci,low,local_quadratic
10,-2.73318560862,-156.6,0.00439827611732,wide_ci,low,local_quadratic
10,-2.67035375555,-153,0.0044046143513,fallback,medium,global_periodic_fallback
10,-2.60752190248,-149.4,0.00440238465973,wide_ci,low,local_quadratic
10,-2.54469004941,-145.8,0.00441641248868,wide_ci,low,local_quadratic
10,-2.48185819634,-142.2,0.00441591427789,wide_ci,low,local_quadratic
10,-2.41902634326,-138.6,0.00441507053331,wide_ci,low,local_quadratic
10,-2.35619449019,-135,0.00441522296056,wide_ci,low,local_quadratic
10,-2.29336263712,-131.4,0.00441529381959,wide_ci,low,local_quadratic
10,-2.23053078405,-127.8,0.00441638343118,wide_ci,low,local_quadratic
10,-2.16769893098,-124.2,0.00441699609627,wide_ci,low,local_quadratic
10,-2.10486707791,-120.6,0.00440386642419,wide_ci,low,local_quadratic
10,-2.04203522483,-117,0.00440471399788,fallback,medium,global_periodic_fallback
10,-1.97920337176,-113.4,0.00439953648405,wide_ci,low,local_quadratic
10,-1.91637151869,-109.8,0.00439574962937,wide_ci,low,local_quadratic
10,-1.85353966562,-106.2,0.00439522612032,wide_ci,low,local_quadratic
10,-1.79070781255,-102.6,0.00439698293518,wide_ci,low,local_quadratic
10,-1.72787595947,-99,0.0043950323608,wide_ci,low,local_quadratic
10,-1.6650441064,-95.4,0.00438867737669,wide_ci,low,local_quadratic
10,-1.60221225333,-91.8,0.00438902156928,fallback,medium,global_periodic_fallback
10,-1.53938040026,-88.2,0.00438796377287,fallback,medium,global_periodic_fallback
10,-1.47654854719,-84.6,0.00438736586164,fallback,medium,global_periodic_fallback
10,-1.41371669412,-81,0.00439189186527,wide_ci,low,local_quadratic
10,-1.35088484104,-77.4,0.00439432844548,wide_ci,low,local_quadratic
10,-1.28805298797,-73.8,0.00438973475756,wide_ci,low,local_quadratic
10,-1.2252211349,-70.2,0.0043890395419,fallback,medium,global_periodic_fallback
