snapshot_time,theta_rad,theta_deg,zeta_wall,slope_dz_dr,contact_angle_deg,ci_low_deg,ci_high_deg,ci_width_deg,fit_cond,fit_cond_global,model_diff_deg,n_points,n_unique_r,r_span,status,quality_tier,estimator_source,flag_sparse_local,flag_ill_conditioned,flag_wide_ci,flag_model_mismatch,flag_fallback_used,used_in_strict_stats,used_in_all_stats
10,-3.11017672705,-178.2,0.00437636650166,0.0825490928473,85.2809849792,6.66545214945,104.217023505,97.5515713556,705.313624462,888.802581872,8.97502035783,8,8,0.000269175507128,wide_ci,low,local_quadratic,0,0,1,0,0,0,1
10,-3.04734487398,-174.6,0.00436648844489,0.125748640851,82.8327534958,70.6809280852,100.808087178,30.1271590925,439.934172604,888.802581872,7.49979254393,10,10,0.000312938354909,warn,medium,local_quadratic,0,0,0,0,0,0,1
10,-2.98451302091,-171,0.00435383822304,0.130234527112,82.5798741724,67.0503633677,95.4801426019,28.4297792341,435.819474256,888.802581872,6.58928299837,10,10,0.000312838703394,warn,medium,local_quadratic,0,0,0,0,0,0,1
10,-2.92168116784,-167.4,0.00432957483665,0.0337543750672,88.0667507665,74.7216216804,102.939588819,28.2179671381,393.454078798,888.802581872,7.74732502686,10,10,0.000312684103847,warn,medium,local_quadratic,0,0,0,0,0,0,1
10,-2.85884931477,-163.8,0.00432272802897,0.235480083826,76.7493843812,71.1735732187,82.9157704528,11.742197234,354.736987224,888.802581872,3.06248446442,10,10,0.000253503210843,high,high,local_quadratic,0,0,0,0,0,1,1
10,-2.79601746169,-160.2,0.00431183367094,0.04386665013,87.488236375,78.0267127997,96.9445418488,18.9178290491,431.973312975,888.802581872,8.9834171617,10,10,0.000309003284201,warn,medium,local_quadratic,0,0,0,0,0,0,1
10,-2.73318560862,-156.6,0.00430581356771,0.0797097522129,85.4426033391,46.5176158177,106.168585198,59.65096938,484.03031964,888.802581872,7.09715616087,9,9,0.000309003284201,wide_ci,low,local_quadratic,0,0,1,0,0,0,1
10,-2.67035375555,-153,0.0042927956375,0.0724402117972,85.8567188887,1.56369809773,97.7931866987,96.229488601,647.848753429,888.802581872,9.0925399217,7,7,0.000327656976879,wide_ci,low,local_quadratic,1,0,1,0,0,0,1
10,-2.60752190248,-149.4,0.00427952211127,0.0335484741467,88.0785346759,57.8452477844,113.099679418,55.2544316334,340.209301392,888.802581872,10.2396621141,7,7,0.000327208545059,wide_ci,low,local_quadratic,1,0,1,0,0,0,1
10,-2.54469004941,-145.8,0.00427371516455,0.101404810891,84.2097251898,33.2262750516,178.815533252,145.589258201,436.100515923,888.802581872,5.83044555458,6,6,0.000295953825116,wide_ci,low,local_quadratic,1,0,1,0,0,0,1
