metric,value
snapshot_time,10.0
quality_profile,balanced
theta_nominal_deg,70.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,5
num_tier_medium,14
num_tier_low,81
num_samples_ok,5
num_samples_used_for_stats,100
contact_angle_all_mean_deg,86.7413631628595
contact_angle_all_q1_deg,83.04397740394755
contact_angle_all_median_deg,85.52027082030634
contact_angle_all_q3_deg,88.02523159314627
contact_angle_all_min_deg,72.99449806551904
contact_angle_all_max_deg,149.86935930155477
contact_angle_high_mean_deg,79.83153833097006
contact_angle_high_q1_deg,76.74938438119898
contact_angle_high_median_deg,81.66321890905984
contact_angle_high_q3_deg,83.78383688616387
contact_angle_high_min_deg,72.99449806551904
contact_angle_high_max_deg,83.96675341290859
contact_angle_high_medium_mean_deg,84.30824637690812
contact_angle_high_medium_q1_deg,82.70631383411884
contact_angle_high_medium_median_deg,83.96675341290859
contact_angle_high_medium_q3_deg,87.74981412182504
contact_angle_high_medium_min_deg,72.99449806551904
contact_angle_high_medium_max_deg,89.51443273687035
contact_angle_low_mean_deg,87.31209426079872
contact_angle_low_q1_deg,83.1885243870139
contact_angle_low_median_deg,85.59793830149704
contact_angle_low_q3_deg,88.07853467587745
contact_angle_low_min_deg,74.68744099914242
contact_angle_low_max_deg,149.86935930155477
contact_angle_mean_deg,86.7413631628595
contact_angle_q1_deg,83.04397740394755
contact_angle_median_deg,85.52027082030634
contact_angle_q3_deg,88.02523159314627
contact_angle_min_deg,72.99449806551904
contact_angle_max_deg,149.86935930155477
bias_all_vs_theta_nominal_deg,16.7413631628595
bias_high_vs_theta_nominal_deg,9.831538330970062
