timestamp,normU,maxDeltaAlpha,interfaceHeightMaxRel,interfaceHeightMinRel
0,0,nan,0.00082,-0.00082
0.000129933,0.0024293175031,0.296272,0.00082,-0.00068497692804
0.000158759,0.00264185497264,0.111327,0.000819988519839,-0.000587982885478
0.000230469,0.00263219715917,0.254909,0.000817588690039,-0.000236976312854
0.000408774,0.00158357499445,0.317368,0.000791551522551,-5.71748114604e-05
0.000797118,0.00101864476491,0.199881,0.000736715348569,-5.75906505475e-06
0.00130578,0.00098049633313,0.294922,0.000629535531381,0.000209005354014
0.00172068,0.000755630824519,0.211906,0.000612969046289,-0.000203286359806
0.00222061,0.000857024219598,0.1752,0.000589441218033,-0.000236688184115
0.00281246,0.00105842235527,0.222316,0.000596392477881,-0.000389202998252
0.00332416,0.00122423498485,0.266773,0.000339174610427,-0.000617544635788
0.004002,0.00160466781668,0.445354,-0.000591197425573,-0.000804732223846
0.00465866,0.00180023401684,0.218156,-0.0007938133145,-0.00082
0.00533885,0.00108619677752,0.0309467,-0.000819380639179,-0.00082
0.00604277,0.000741032628681,0.000754748,-0.000819875833201,-0.00082
0.00679438,0.000639138229325,0.0001514,-0.000819988348864,-0.00082
0.00745405,0.000865827629633,0.000209872797,-0.000819827247013,-0.00082
0.00817012,0.0013840120813,0.00480664,-0.000815865092653,-0.00082
0.00887699,0.00178557584735,0.01366584,-0.000805526813608,-0.00082
0.00951085,0.00192833620825,0.02429283,-0.000791318204649,-0.000819869930652
0.0101547,0.00213255233345,0.0144443,-0.000778438261747,-0.00082
0.0109368,0.00289192849142,0.0236855,-0.000793913896294,-0.00082
0.0116158,0.00395945225545,0.02706713,-0.000815489822141,-0.00082
0.012265,0.00465524913868,0.00547013,-0.00082,-0.00082
0.0129072,0.00495784001796,1.8001285e-18,-0.00082,-0.00082
0.0135287,0.00500331959411,7.71551e-16,-0.00082,-0.00082
0.014136,0.00496364902176,5.32657e-16,-0.00082,-0.00082
0.0147416,0.00454838848988,3.65177e-15,-0.00082,-0.00082
0.0153398,0.004108787307,1.33774e-15,-0.00082,-0.00082
0.0159335,0.0039216694868,6.9299e-16,-0.00082,-0.00082
0.0165209,0.0039936845535,7.41573e-16,-0.00082,-0.00082
0.0170972,0.00395327016125,7.952921e-16,-0.00082,-0.00082
0.0176789,0.00386223719794,8.3757756e-17,-0.00082,-0.00082
0.0182622,0.00340204809336,5.13485e-06,-0.000819995789401,-0.00082
0.0188453,0.00305873926535,0.00153825515,-0.000818732463897,-0.00082
0.0194544,0.00320305972949,0.01384601,-0.000807183453032,-0.000819999965563
0.020117,0.00305134984719,0.05090509,-0.000768663650568,-0.000819545203856
0.0208469,0.00269205645389,0.0891483,-0.000682796342081,-0.000789481084926
0.0216863,0.00225913823084,0.137981,-0.000548642750859,-0.00068633087434
0.0224393,0.00194792624789,0.149077,-0.000334934595533,-0.000525848372116
0.0232984,0.0016650964973,0.127607,-7.08322330023e-05,-0.000366800994337
0.0239584,0.00153418407206,0.051334,-1.4699220252e-05,-0.000275877421941
0.024515,0.00141668638718,0.034186,-7.96080752185e-05,-0.000282930079455
0.0249961,0.00131055790784,0.055127,-0.000170929312618,-0.000364694120995
0.0254819,0.00118534967562,0.051223,-0.000267998534301,-0.000404308404511
0.0261853,0.00101905039304,0.085338,-0.00029313228869,-0.000457634548142
0.0266336,0.000920647938646,0.052582,-0.000304081719099,-0.000540961926372
0.0273528,0.000782832037368,0.086952,-0.000388202449249,-0.000608670213435
0.0280991,0.00069218726632,0.109725,-0.000567800434895,-0.000670374121868
0.0289087,0.000627905934312,0.098684,-0.000639460684906,-0.000720990512908
0.0296715,0.000587589474746,0.0453593,-0.000663226948454,-0.000744920655037
0.0304415,0.000603884177518,0.021756,-0.000670210136906,-0.000758054626406
0.0312535,0.000641112189785,0.0235414,-0.0006564398481,-0.000773170489191
0.0318716,0.000687888723948,0.02074,-0.000667534990951,-0.000783020834836
0.0323725,0.000727792106342,0.0268376,-0.000695089438089,-0.000792041449868
0.032894,0.000780492744631,0.0392452,-0.000735972646337,-0.000804632751164
0.0335073,0.00119019607967,0.0423283,-0.000766876549927,-0.00082
0.0342486,0.00199071609717,0.0393902,-0.000789364357329,-0.00082
0.0347251,0.00237784323897,0.0178047,-0.000799349849375,-0.00082
0.0353794,0.00268436318209,0.0164958,-0.000813329846533,-0.00082
0.0362043,0.00286809386936,0.0080687,-0.00082,-0.00082
0.036944,0.003164022516,4.0152e-15,-0.00082,-0.00082
0.0374482,0.00320390526943,1.3357e-15,-0.00082,-0.00082
