time,max_z,min_z,mean_z,num_points
0.0,0.004180377349257469,0.004019622690975666,0.004127373453229666,2190
0.1,0.004416274838149548,0.003948677331209183,0.004147447180002928,2653
0.2,0.004428095184266567,0.003904541488736868,0.004148101434111595,2645
0.3,0.004450555890798569,0.003825295018032193,0.004140413366258144,2697
0.4,0.00444842129945755,0.0038278009742498398,0.00414038123562932,2695
0.5,0.004449836444109678,0.0038293979596346617,0.00414005434140563,2691
0.6,0.004449858795851469,0.003826224012300372,0.004139335360378027,2697
0.7,0.00444970466196537,0.003826812608167529,0.004139028023928404,2697
0.8,0.004449875559657812,0.003827004926279187,0.004139144439250231,2697
0.9,0.004449734464287758,0.0038280219305306673,0.00413942988961935,2695
1.0,0.004449387546628714,0.003830414265394211,0.004140239208936691,2689
