theta,h,source
-3.0925052683774528,0.004138076025992632,openfoam
-2.9943304979527716,0.004114467650651932,openfoam
-2.8961557275280905,0.004092257749289274,openfoam
-2.7979809571034093,0.004072375688701868,openfoam
-2.6998061866787286,0.004045739304274321,openfoam
-2.6016314162540475,0.0040169680723920465,openfoam
-2.5034566458293663,0.003992097917944193,openfoam
-2.405281875404685,0.003961629793047905,openfoam
-2.3071071049800045,0.003946720855310559,openfoam
-2.2089323345553233,0.003923761774785817,openfoam
-2.110757564130642,0.0039101841393858194,openfoam
-2.0125827937059615,0.003898026770912111,openfoam
-1.9144080232812801,0.003885900881141424,openfoam
-1.8162332528565992,0.0038753080647438765,openfoam
-1.718058482431918,0.003871187660843134,openfoam
-1.6198837120072371,0.0038681560661643745,openfoam
-1.521708941582556,0.0038688539643771946,openfoam
-1.423534171157875,0.00387077946215868,openfoam
-1.325359400733194,0.0038755116518586876,openfoam
-1.227184630308513,0.003886633785441518,openfoam
-1.129009859883832,0.0038987828884273767,openfoam
-1.030835089459151,0.003911298234015703,openfoam
-0.9326603190344698,0.0039248924003914,openfoam
-0.8344855486097886,0.003947830758988857,openfoam
-0.7363107781851079,0.003963624942116439,openfoam
-0.6381360077604268,0.003992043784819543,openfoam
-0.5399612373357456,0.004017485887743533,openfoam
-0.4417864669110645,0.004045838431920856,openfoam
-0.3436116964863838,0.0040710210800170895,openfoam
-0.24543692606170264,0.004091329779475928,openfoam
-0.1472621556370215,0.004115625564008951,openfoam
-0.04908738521234035,0.004140637582167983,openfoam
0.04908738521234035,0.0041667764307931066,openfoam
0.1472621556370215,0.004189773928374052,openfoam
0.24543692606170264,0.00421894509345293,openfoam
0.3436116964863838,0.004251798323821276,openfoam
0.4417864669110645,0.0042875721119344234,openfoam
0.5399612373357456,0.004308625706471503,openfoam
0.6381360077604268,0.0043243286199867725,openfoam
0.7363107781851079,0.004345544879989964,openfoam
0.8344855486097886,0.004356527980417013,openfoam
0.9326603190344702,0.004376300028525293,openfoam
1.030835089459151,0.004390724701806903,openfoam
1.1290098598838316,0.0044052555070569115,openfoam
1.2271846303085132,0.004425403196364641,openfoam
1.325359400733194,0.0044407078996300696,openfoam
1.4235341711578746,0.004450047000621756,openfoam
1.5217089415825562,0.004452264402061701,openfoam
1.619883712007237,0.004457427002489567,openfoam
1.7180584824319185,0.004458450898528099,openfoam
1.8162332528565992,0.004446975953344788,openfoam
1.91440802328128,0.004428798146545887,openfoam
2.0125827937059615,0.0044077530813713866,openfoam
2.110757564130642,0.004393126000650227,openfoam
2.208932334555323,0.004377834033221006,openfoam
2.3071071049800045,0.0043584066443145275,openfoam
2.405281875404685,0.0043459670268930495,openfoam
2.5034566458293668,0.0043222138192504644,openfoam
2.6016314162540475,0.004306259332224727,openfoam
2.699806186678728,0.004284729327385624,openfoam
2.7979809571034098,0.004249808777655874,openfoam
2.8961557275280905,0.004216954670846462,openfoam
2.994330497952771,0.0041883235797286035,openfoam
3.0925052683774528,0.004162791557610035,openfoam
-3.0925052683774528,0.0050000112192955465,young_laplace
-2.9943304979527716,0.005000063027773403,young_laplace
-2.8961557275280905,0.005000109364285243,young_laplace
-2.7979809571034093,0.0050001620125675345,young_laplace
-2.6998061866787286,0.0050002093414303755,young_laplace
-2.6016314162540475,0.0050002545994512464,young_laplace
-2.5034566458293663,0.005000297339675558,young_laplace
-2.405281875404685,0.005000337140013722,young_laplace
-2.3071071049800045,0.005000373607409578,young_laplace
-2.2089323345553233,0.005000406381722107,young_laplace
-2.110757564130642,0.005000435139282063,young_laplace
-2.0125827937059615,0.0050004595960884395,young_laplace
-1.9144080232812801,0.005000479510613181,young_laplace
-1.8162332528565992,0.005000494686186437,young_laplace
-1.718058482431918,0.005000504972938813,young_laplace
-1.6198837120072371,0.005000510074287598,young_laplace
-1.521708941582556,0.005000510893273015,young_laplace
-1.423534171157875,0.005000507091697152,young_laplace
-1.325359400733194,0.00500049881879097,young_laplace
-1.227184630308513,0.0050004845750772145,young_laplace
-1.129009859883832,0.005000466065567356,young_laplace
-1.030835089459151,0.0050004429498852355,young_laplace
-0.9326603190344698,0.005000415456314372,young_laplace
-0.8344855486097886,0.005000383856372994,young_laplace
-0.7363107781851079,0.00500034846213261,young_laplace
-0.6381360077604268,0.005000309623136081,young_laplace
-0.5399612373357456,0.005000267722945646,young_laplace
-0.4417864669110645,0.005000223175354972,young_laplace
-0.3436116964863838,0.005000176420302653,young_laplace
-0.24543692606170264,0.00500012791952751,young_laplace
-0.1472621556370215,0.0050000781520086,young_laplace
-0.04908738521234035,0.005000025353969949,young_laplace
0.04908738521234035,0.004999982594354266,young_laplace
0.1472621556370215,0.004999936273739364,young_laplace
0.24543692606170264,0.004999886221244441,young_laplace
0.3436116964863838,0.0049998372889452315,young_laplace
0.4417864669110645,0.004999789960082391,young_laplace
0.5399612373357456,0.0049997447020615204,young_laplace
0.6381360077604268,0.0049997019618372085,young_laplace
0.7363107781851079,0.004999662161499044,young_laplace
0.8344855486097886,0.004999625694103187,young_laplace
0.9326603190344702,0.004999592919790659,young_laplace
1.030835089459151,0.004999564162230704,young_laplace
1.1290098598838316,0.004999539705424327,young_laplace
1.2271846303085132,0.0049995197908995846,young_laplace
1.325359400733194,0.00499950461532633,young_laplace
1.4235341711578746,0.004999494328573955,young_laplace
1.5217089415825562,0.004999453434331453,young_laplace
1.619883712007237,0.004999570488820754,young_laplace
1.7180584824319185,0.0049994933791882214,young_laplace
1.8162332528565992,0.004999500504798225,young_laplace
1.91440802328128,0.004999514726818709,young_laplace
2.0125827937059615,0.004999533235953478,young_laplace
2.110757564130642,0.004999556351627717,young_laplace
2.208932334555323,0.004999583845198398,young_laplace
2.3071071049800045,0.004999615445139772,young_laplace
2.405281875404685,0.004999650839380157,young_laplace
2.5034566458293668,0.004999689678376686,young_laplace
2.6016314162540475,0.004999731578567121,young_laplace
2.699806186678728,0.004999776126157794,young_laplace
2.7979809571034098,0.0049998228812101145,young_laplace
2.8961557275280905,0.004999871381985257,young_laplace
2.994330497952771,0.004999921149504168,young_laplace
3.0925052683774528,0.004999967338386568,young_laplace
