x,y,z
0.0,0.0,0.004149999647237919
0.0,0.0,0.0041499996451283706
0.0,0.0,0.004149999643865228
0.0,0.0,0.004149999643111119
0.0,0.0,0.004149999642663696
0.0,0.0,0.0041499996424016
0.0,0.0,0.00414999964225204
0.0,0.0,0.004149999642171356
0.0,0.0,0.004149999642133358
0.0,0.0,0.004149999642122337
0.0,0.0,0.004149999642128862
0.0,0.0,0.004149999642147276
0.0,0.0,0.004149999642174177
0.0,0.0,0.004149999642207521
0.0,0.0,0.004149999642246074
0.0,0.0,0.004149999642289087
0.0,0.0,0.004149999642336106
0.0,0.0,0.004149999642386848
0.0,0.0,0.0041499996424411364
0.0,0.0,0.004149999642498853
0.0,0.0,0.004149999642559921
0.0,0.0,0.004149999642624279
0.0,0.0,0.004149999642691883
0.0,0.0,0.0041499996427626935
0.0,0.0,0.004149999642836675
0.0,0.0,0.004149999642913794
0.0,0.0,0.004149999642994018
0.0,0.0,0.004149999643077313
0.0,0.0,0.004149999643163645
0.0,0.0,0.00414999964325298
0.0,0.0,0.004149999643345281
0.0,0.0,0.004149999643440513
0.0,0.0,0.004149999643538638
0.0,0.0,0.004149999643639616
0.0,0.0,0.004149999643743407
0.0,0.0,0.004149999643849971
0.0,0.0,0.004149999643959266
0.0,0.0,0.004149999644071247
0.0,0.0,0.004149999644185872
0.0,0.0,0.004149999644303094
0.0,0.0,0.004149999644422868
0.0,0.0,0.004149999644545145
0.0,0.0,0.004149999644669878
0.0,0.0,0.0041499996447970176
0.0,0.0,0.004149999644926512
0.0,0.0,0.004149999645058312
0.0,0.0,0.0041499996451923645
0.0,0.0,0.0041499996453286175
0.0,0.0,0.0041499996454670155
0.0,0.0,0.004149999645607505
0.0,0.0,0.004149999645750029
0.0,0.0,0.004149999645894533
0.0,0.0,0.004149999646040959
0.0,0.0,0.004149999646189249
0.0,0.0,0.0041499996463393455
0.0,0.0,0.0041499996464911875
0.0,0.0,0.004149999646644716
0.0,0.0,0.0041499996467998694
0.0,0.0,0.004149999646956587
0.0,0.0,0.004149999647114808
0.0,0.0,0.004149999647274467
0.0,0.0,0.004149999647435503
0.0,0.0,0.004149999647597853
0.0,0.0,0.00414999964776145
0.0,0.0,0.004149999647926232
0.0,0.0,0.0041499996480921335
0.0,0.0,0.004149999648259088
0.0,0.0,0.004149999648427029
0.0,0.0,0.004149999648595891
0.0,0.0,0.004149999648765608
0.0,0.0,0.004149999648936111
0.0,0.0,0.0041499996491073336
0.0,0.0,0.004149999649279209
0.0,0.0,0.0041499996494516675
0.0,0.0,0.004149999649624643
0.0,0.0,0.004149999649798065
0.0,0.0,0.004149999649971866
