metric,value
snapshot_time,0.3
quality_profile,balanced
theta_nominal_deg,90.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,0
num_tier_medium,98
num_tier_low,2
num_samples_ok,0
num_samples_used_for_stats,100
contact_angle_all_mean_deg,104.44815201356201
contact_angle_all_q1_deg,81.5846210445963
contact_angle_all_median_deg,101.99098056201609
contact_angle_all_q3_deg,117.21433726693886
contact_angle_all_min_deg,45.85034406796405
contact_angle_all_max_deg,158.46341234623034
contact_angle_high_medium_mean_deg,105.64402564510482
contact_angle_high_medium_q1_deg,83.21834847605035
contact_angle_high_medium_median_deg,102.3994712536063
contact_angle_high_medium_q3_deg,118.78527136004644
contact_angle_high_medium_min_deg,64.98986709545886
contact_angle_high_medium_max_deg,158.46341234623034
contact_angle_low_mean_deg,45.85034406796405
contact_angle_low_q1_deg,45.85034406796405
contact_angle_low_median_deg,45.85034406796405
contact_angle_low_q3_deg,45.85034406796405
contact_angle_low_min_deg,45.85034406796405
contact_angle_low_max_deg,45.85034406796405
contact_angle_mean_deg,104.44815201356201
contact_angle_q1_deg,81.5846210445963
contact_angle_median_deg,101.99098056201609
contact_angle_q3_deg,117.21433726693886
contact_angle_min_deg,45.85034406796405
contact_angle_max_deg,158.46341234623034
bias_all_vs_theta_nominal_deg,14.448152013562009
