snapshot_time,theta_rad,theta_deg,zeta_wall,slope_dz_dr,contact_angle_deg,ci_low_deg,ci_high_deg,ci_width_deg,fit_cond,fit_cond_global,model_diff_deg,n_points,n_unique_r,r_span,status,quality_tier,estimator_source,flag_sparse_local,flag_ill_conditioned,flag_wide_ci,flag_model_mismatch,flag_fallback_used,used_in_strict_stats,used_in_all_stats
0.3,-3.11017672705,-178.2,0.00435946360856,-0.293557303014,106.359986663,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-3.04734487398,-174.6,0.00436788410782,-0.27668360992,105.465894163,nan,nan,nan,inf,25710.841909,nan,2,2,3.5809352994e-07,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.98451302091,-171,0.00436840381005,-0.252064385088,104.147512154,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.92168116784,-167.4,0.00436166994675,-0.220552006359,102.437582557,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.85884931477,-163.8,0.00434868727001,-0.183285218534,100.386190663,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.79601746169,-160.2,0.00433075087252,-0.141585720804,98.0586995062,nan,nan,nan,inf,25710.841909,nan,2,2,5.20143657923e-07,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.73318560862,-156.6,0.00430936189873,-0.0968577592437,95.5322836509,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.67035375555,-153,0.00428613148986,-0.0504973666665,92.8908304647,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.60752190248,-149.4,0.00426267903792,-0.00381666269054,90.2186776022,nan,nan,nan,inf,25710.841909,nan,2,2,6.45872205496e-07,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.54469004941,-145.8,0.00424053117293,0.0420129221014,87.5942516636,nan,nan,nan,inf,25710.841909,nan,2,2,6.45872205496e-07,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.48185819634,-142.2,0.00422102785129,0.0859963825921,85.0848628535,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.41902634326,-138.6,0.00420524145468,0.12732953823,82.7436022676,nan,nan,nan,inf,25710.841909,nan,0,0,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.35619449019,-135,0.00419391397667,0.165393550527,80.6086651284,nan,nan,nan,inf,25710.841909,nan,4,4,5.47897070646e-06,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.29336263712,-131.4,0.00418741622123,0.199732579143,78.7048010588,nan,nan,nan,inf,25710.841909,nan,4,4,5.47897070646e-06,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.23053078405,-127.8,0.00418573153582,0.230018862204,77.0462090641,nan,nan,nan,inf,25710.841909,nan,0,0,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.16769893098,-124.2,0.00418846503991,0.256010385956,75.6401049857,nan,nan,nan,inf,25710.841909,nan,2,2,0.000188642647117,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.10486707791,-120.6,0.00419487768666,0.277506744043,74.4903067008,nan,nan,nan,inf,25710.841909,nan,4,4,0.000188642647117,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-2.04203522483,-117,0.0042039429129,0.294308751711,73.6003824721,nan,nan,nan,inf,25710.841909,nan,4,4,0.000188642647117,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.97920337176,-113.4,0.00421442219127,0.306186883029,72.9760989697,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.91637151869,-109.8,0.00422495458872,0.312862681263,72.6270459772,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.85353966562,-106.2,0.00423415453499,0.314006025226,72.5673971625,nan,nan,nan,inf,25710.841909,nan,2,2,5.28525561094e-07,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.79070781255,-102.6,0.00424071147017,0.309249614783,72.8157965664,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.72787595947,-99,0.00424348490616,0.298220381995,73.3943470294,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.6650441064,-95.4,0.00424158871214,0.280585866743,74.3266309695,nan,nan,nan,inf,25710.841909,nan,3,3,0.000219163950533,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.60221225333,-91.8,0.00423445910232,0.256112044826,75.6346387669,nan,nan,nan,inf,25710.841909,nan,4,4,0.000219163950533,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.53938040026,-88.2,0.00422190182379,0.224727783435,77.3344626895,nan,nan,nan,inf,25710.841909,nan,3,3,9.31974500418e-05,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
0.3,-1.47654854719,-84.6,0.00420411534951,0.186590128765,79.4307142804,nan,nan,nan,inf,25710.841909,nan,1,1,0,fallback,medium,global_periodic_fallback,1,0,0,0,1,0,1
