metric,value
snapshot_time,7.0
quality_profile,balanced
theta_nominal_deg,70.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,0
num_tier_medium,61
num_tier_low,39
num_samples_ok,0
num_samples_used_for_stats,100
contact_angle_all_mean_deg,80.55033722544808
contact_angle_all_q1_deg,78.34918364011432
contact_angle_all_median_deg,82.49893095823879
contact_angle_all_q3_deg,83.59516111164517
contact_angle_all_min_deg,63.437625108056494
contact_angle_all_max_deg,95.14797654908628
contact_angle_high_medium_mean_deg,82.95853702485607
contact_angle_high_medium_q1_deg,82.45085388727469
contact_angle_high_medium_median_deg,83.06525938654822
contact_angle_high_medium_q3_deg,83.72198610775945
contact_angle_high_medium_min_deg,80.75368000561795
contact_angle_high_medium_max_deg,84.06193274706938
contact_angle_low_mean_deg,76.78366574432278
contact_angle_low_q1_deg,71.88246429215602
contact_angle_low_median_deg,76.81399538633022
contact_angle_low_q3_deg,79.930362633042
contact_angle_low_min_deg,63.437625108056494
contact_angle_low_max_deg,95.14797654908628
contact_angle_mean_deg,80.55033722544808
contact_angle_q1_deg,78.34918364011432
contact_angle_median_deg,82.49893095823879
contact_angle_q3_deg,83.59516111164517
contact_angle_min_deg,63.437625108056494
contact_angle_max_deg,95.14797654908628
bias_all_vs_theta_nominal_deg,10.550337225448075
