time,max_z,min_z,mean_z,num_points
0.0,0.004149999935179949,0.004149999935179949,0.004149999935179949,2369
0.1,0.004151024855673313,0.004148653708398342,0.00414995988830924,3061
0.2,0.00415151147171855,0.004146801773458719,0.004149986896663904,3413
0.3,0.0041511268354952335,0.00414867140352726,0.004149988293647766,3171
0.4,0.004152790643274784,0.004148742649704218,0.00415001017972827,3180
0.5,0.00415081949904561,0.004149098880589008,0.004149994347244501,3185
0.6,0.004150640685111284,0.004149117041379213,0.004150006920099258,3078
0.7,0.004151374567300081,0.004149101674556732,0.004150051157921553,3063
0.8,0.0041507938876748085,0.004149023909121752,0.004149986431002617,3078
0.9,0.004152183420956135,0.004149144981056452,0.004150057211518288,3037
1.0,0.00415197154507041,0.004149038344621658,0.004150037188082933,3102
1.1,0.004152131266891956,0.004149132873862982,0.00415001530200243,3044
1.2,0.00415079714730382,0.004149102605879307,0.004149978514760733,2968
1.3,0.004151287488639355,0.0041489494033157825,0.004150014370679855,2952
1.4,0.004150998778641224,0.004148978739976883,0.004149992018938065,3082
1.5,0.004151386674493551,0.004149019718170166,0.004150062799453735,3011
1.6,0.004151144530624151,0.004148795735090971,0.004150033928453922,3089
1.7,0.00415168097242713,0.0041455854661762714,0.004150011111050844,3187
1.8,0.004151588771492243,0.004149084910750389,0.004150003660470247,2982
1.9,0.004151081200689077,0.004149079788476229,0.004150026012212038,3066
2.0,0.004151179920881987,0.004148262552917004,0.004150012973695993,2979
2.1,0.004151891451328993,0.004149080719798803,0.004150022752583027,2980
2.2,0.004154938273131847,0.004146636929363012,0.004150053020566702,3057
2.3,0.004150645807385445,0.004149179439991713,0.004150018095970154,3081
2.4,0.004150956869125366,0.004148153588175774,0.004149966407567263,3050
2.5,0.004151878412812948,0.004149244632571936,0.004150068387389183,2928
2.6,0.004151067230850458,0.004148757550865412,0.004150014836341143,3074
2.7,0.004151001572608948,0.004148725885897875,0.004150004591792822,3064
2.8,0.0041509526781737804,0.004149209707975388,0.004150024149566889,3140
2.9,0.004150822758674622,0.004149097017943859,0.004150009248405695,3056
3.0,0.004150578752160072,0.004149049054831266,0.00414999620988965,3065
3.1,0.004150740802288055,0.004148832056671381,0.004149992018938065,3048
3.2,0.004151387605816126,0.0041490588337183,0.004150005988776684,3081
3.3,0.0041505820117890835,0.004148921463638544,0.00414997898042202,3118
3.4,0.004152103327214718,0.004149173852056265,0.004150037653744221,2996
3.5,0.004154343158006668,0.004146633204072714,0.004150041379034519,3254
3.6,0.004151181783527136,0.004149125423282385,0.00414999620988965,3036
3.7,0.00415046326816082,0.004148032516241074,0.004149939864873886,3088
3.8,0.004150998778641224,0.004148592706769705,0.004149988759309053,3112
3.9,0.004150555934756994,0.004148887004703283,0.004149979446083307,3039
4.0,0.004152222070842981,0.004148462787270546,0.004150055814534426,2955
4.1,0.0041509149596095085,0.004149079322814941,0.0041500297375023365,3016
4.2,0.004150838125497103,0.004149122629314661,0.004150036256760359,2957
4.3,0.004150887951254845,0.004148857202380896,0.004150021821260452,3027
4.4,0.004151955712586641,0.004149238578975201,0.0041500176303088665,3195
