metric,value
snapshot_time,10.0
quality_profile,balanced
theta_nominal_deg,120.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,100
num_tier_medium,0
num_tier_low,0
num_samples_ok,100
num_samples_used_for_stats,100
contact_angle_all_mean_deg,89.96412078837551
contact_angle_all_q1_deg,89.95580404934987
contact_angle_all_median_deg,89.9939717640089
contact_angle_all_q3_deg,90.04745059483199
contact_angle_all_min_deg,89.20650160537268
contact_angle_all_max_deg,90.37128271058448
contact_angle_high_mean_deg,89.96412078837551
contact_angle_high_q1_deg,89.95580404934987
contact_angle_high_median_deg,89.9939717640089
contact_angle_high_q3_deg,90.04745059483199
contact_angle_high_min_deg,89.20650160537268
contact_angle_high_max_deg,90.37128271058448
contact_angle_high_medium_mean_deg,89.96412078837551
contact_angle_high_medium_q1_deg,89.95580404934987
contact_angle_high_medium_median_deg,89.9939717640089
contact_angle_high_medium_q3_deg,90.04745059483199
contact_angle_high_medium_min_deg,89.20650160537268
contact_angle_high_medium_max_deg,90.37128271058448
contact_angle_mean_deg,89.96412078837551
contact_angle_q1_deg,89.95580404934987
contact_angle_median_deg,89.9939717640089
contact_angle_q3_deg,90.04745059483199
contact_angle_min_deg,89.20650160537268
contact_angle_max_deg,90.37128271058448
bias_all_vs_theta_nominal_deg,-30.03587921162449
bias_high_vs_theta_nominal_deg,-30.03587921162449
