tilt_deg,l2_rms,case_dir
5.0,0.0008526138183832344,case_H0.0083_D0.0083_flat_tilt_T5.0_m0.0001
10.0,0.0008601909409391777,case_H0.0083_D0.0083_flat_tilt_T10.0_m0.0001
20.0,0.0008858115702172976,case_H0.0083_D0.0083_flat_tilt_T20.0_m0.0001
25.0,0.0009065781190067013,case_H0.0083_D0.0083_flat_tilt_T25.0_m0.0001
