metric,value
openfoam_time,5.0
analytical_area,5.5188472050711204e-05
analytical_hL,2.216220208143236e-05
l2_rms,0.0003023821947787016
l2_rms_capillary,0.10658554536575222
l2_sum,0.03838705936310282
num_samples,16116
